instruction_id,en,de,es,fr,ru
1fb6d672911b6a57570adf867a5ebf5694c170e7c61df9878dd35353c36f7dff,10,10,10,10,10
22819e57c9129f29da22b286e7eb805c40d5377945e9f14d913148b1d62f4cb3,9,6,10,10,9
22f81e2e02bf858c0856073c3520a327f69ebf7794125aeb93627838bbaea833,10,10,10,10,10
24021d998b597688b299fe849bb0ad0ff4a9674b1fff356b2f159300b941fa47,10,10,10,10,10
24927948ed6cd09bb8ba3c51cf43c4343741126d4d785acbce05e9ab780765c6,10,7,10,10,10
254463d964942e8b2d4ebc828df77c4930e0cfa09e8ac6012790f904cda527b7,10,10,10,10,10
269c37d3f12948a708e2887e52d58d520aeb337d7efbe0719db48ef41ccc5e82,10,10,10,10,10
28de8ab0dc2e7a14e1187e5c2c8ec5057b1b1af1cc54c568b77bdade233b634b,10,10,10,10,10
29e4775da84a2a0f1f32ea21d836b3dabf338f83af7a9a4a81a38bf5ecb4a434,10,10,10,10,10
2aa8605df42ebca1b4a11cbaf528d2f3aed0fa49e6c6be165894f794f623e5fb,10,10,10,10,10
2d00544111f52a5063087cbc8c6bea04fde08ea0167cb73b3a06975e4c90d4d2,10,10,10,10,10
2f5964bee7777c30e85bfcb624b0b466698076a30e98615176af1ea6c83dc519,10,7,8,10,10
2fc88d2bc43044a087afe9eab9e005d63286cc428107ffc1f6ff613b5545d921,10,10,10,10,10
325b94890a39706010740c727af1d496bfef2c8bb9bcc65e400e7b4a632c4041,10,10,10,10,10
3329c2a7667a571687d1043b478be064abcac716a55a2e5437e8e1742632abc5,10,10,10,0,10
39c90e74b67e00ccd5039e4c7ed15ff6254253651c980b8d13cf9d9d2e1fe8f7,10,10,10,10,10
3a8af7545e29baf65710321df93a337f32fe2d773beb9ac6f7c4e47946e2dfb3,10,10,10,10,10
3b67943d3ee735a4bc7155222304c3e852129245f3431d663ade0148098cd1be,10,10,10,10,10
3df731b909ac2bf183d389c88accd32ee099a1b3f9022d6ee12e7a2c489770a7,4,10,10,10,10
4006e2d420478185711ea7205bdcbbd4b8cd2b9cc00d7bd5b8dcc8c098628736,10,10,10,10,10
414f7e078ffb510e3a343e5c0cf9dcfee98cf0ffa2a896f7fd01857ca13c0cd6,10,10,10,10,10
418a102bb6782d5a4b1366fa75702be2179fff1aaab2d96d9cd8d7eba0fc6d78,10,8,8,1,7
41901e804d154c05833e7cd0e124fa2e9af2d2240d27d78f30a83e0e68331794,10,10,10,10,10
420688770bb72df97c2d591a84c423ccb3ac3ea97d9b6fe779622a858f1c3cfd,10,10,10,10,10
42bed6a5002d6187a0d89878da657801f2d5f5b79f71ba2bd37bcb899f10ff9a,10,10,1,6,10
4439a56bd8c1468c5e4aed14a27ad9649683881f871d5530f5ca14767cd4ad2d,10,10,10,10,10
453b90031cba73e99f90a1124d7f4ae6ebe5c1f15616535f0f44ff13140d7537,10,10,10,10,9
45585552d946e61043c1745cdd58b4e17543b371f938046d49ac0d4cc62b1115,3,8,10,7,10
4577e29cb7c3912380153e2ec9811cd97d9bfe3e06d84a27ca796e1a66ddd874,10,10,9,10,10
46f51a1916f3d5a63528bb248a634de7dd6bc712c3853c7b771fd17e44215c9c,10,10,10,10,10
48e55285e74da1c9cb37e66c86e6a59789bba9186aae16d62ba1144b35ea6e0f,10,10,10,10,10
4ca16fd0fa8376c165ebda4c0a38695d53a58feca057845ae8c606a0a9cea804,10,10,10,10,10
4d2430eb5acf44e9fbbf6ef7ac698bf6121333a0651a40e8c7be5ce68aa066ef,10,10,10,10,10
50dd0be940f8cdbb7b95dd2c4885d6e0e8757b76771eef6fb8d2ccd7811ef85f,10,10,10,10,10
541a19ff803aff87d6eb3332287d9e7e110a31342bc5b23e5351cf6e2ec069a1,10,10,10,10,10
547417156eca0d5034e59fc066f81d946e680877485323a88799c43839e68271,10,9,10,10,10
55b743a9b81d27115013da5baf0dcfa743ae83b6fb7b79529525437b89e72c5b,10,10,10,10,10
55e547dcaed0497492444521277362565a15aa23bb50f1d166314f591621fefe,10,10,10,10,10
574fe1d935e94149cbe626db1ab14c9ebe4465fc6db8e9d768388fc81d0d958c,10,10,10,10,10
58287fcf3433c47cce173e2bef7ccb620fefb7e60dfd4da8e120e3a900ed3b9a,0,0,9,1,1
5846b04b2e02634dcc0b143eb187e5689df881c6a266beac106d6b82440ce31a,10,10,10,10,10
5a14560b43ced48ee9811a2767472d4ce0821e6718d928625a758b16b79407e7,10,10,10,10,9
5a21ea011f57dca6d4a058c58e7432f9d8b4b837a291d813e3645bc0132f235d,10,10,10,10,10
5aeae5b1a27b8daaae683cfed956ee6b0b55c4216ea77685c8b31e126788b376,10,10,10,10,10
5c1a7ffe6f197caade7a874c0d6c4a12efc02770ae02d6bc40b8221eb1c3f883,10,10,10,10,10
5c899d3dfb33161550b7ab1b797bdb6a08b5a024e1e01b870e2550d82d019b99,10,10,10,10,10
5c939271289c7acce8b07891d0ddb374d843f823ec45fed480b93cab15aac2d5,10,10,10,10,10
5cfc531208fbd8a00dbf6e666c1df93366adc659a5ed2fb8aeef8389c13ee969,0,10,10,10,9
5e5a9dad219feab3ecca820a0af13a5555d53a09a83fe48ad3391aecb425fc35,4,10,10,10,10
604691e16ea637b9bd46766520b1c6865cf19f053ca9aab62574a35821be4c8f,10,10,10,10,10
604ce18d2fdf3263caf7cc2f83a46ab0a8548462329cdb9d0ddadac90efd0dd9,10,10,4,10,10
61a9d12fd16915cfaf53032201a122996deeee777c713fdaefc405f6cd9e819c,10,10,10,10,9
62188d1df870197110e3a1d0aebe81ee037876b310209924f3fe3535ba372dab,10,5,0,1,10
62199f4dba295f44cf61956f1bcc4f65cdc98943065292fddcf141af072e6d23,10,10,10,10,10
6304d7ece1e216ee91c8fbc4accd6d0e385d3e7009494b9d7d321a5b959ea7da,10,10,10,10,10
65b7476396093db797840e83dc01d167862bfb625b278077005db9d4eaeebece,10,10,10,10,10
65f0cb8b3d3ca8ff8cb1e884785800825efccc17516e2228c012c77a702077ec,10,9,10,10,9
66955934f961b7a0209c5eee9c41e8323e2eb443f0525378fa4fa93108cc627e,10,9,10,10,10
672366cda85fda3399913d95b191cee1e6aebdd5de962e6afdba563917e9c107,10,10,10,10,9
6889e6c374da286858b88ab665f6ed032bd91e267c895e0f707fae1ecf810a44,10,10,10,10,10
698a4f8f49e412d237f952af35defcddd50be1a5c5b3a67223b05deda9425bcd,10,10,10,10,10
6a9cdc6ff0a9113816467fe3e7550ed44587d5b9cabe7936c44e7c21fb8a5eab,10,10,10,10,10
6af0999be1b0ffaaaa10eb9953981c51303a0d6f053778b1f31ade21df2ac4f8,10,10,10,10,10
6dd82ae2d00166904b288cdd3c8346764f347147046342c3a9ee52b60b1bea79,10,10,10,10,10
6eee09f302d652aafafb105bcb92d55245e488f6569a2e16127c74affe30dce2,10,10,10,10,10
6fffad148c9d8d5aaa6e7cd18bccf68af074b1bf39183af81bba47f53d5cbab7,10,10,10,10,10
70d5cde54a4ac09240a08025d0559bd9c4fc3da1fee3f6cfc6ddfb979b0217e9,10,10,10,10,10
7175ab3367e589fa2cc18fb224a646f16683b9bbfab1f3073153642dc633cc40,10,10,10,10,10
72b546f8719bcce16bd18d1521da4b8a9bf4651ee9d0e718985b292b504066f2,10,10,10,10,10
758b3748f8032c2fa8d1c91607060015561ef1ba23edaae251e03a883e19ac29,10,10,10,10,10
75a748847d927d308786e4c61e8d2d86fe61298291cb51626ce15a4491e4bacf,10,10,10,10,10
75c2b54946fc3edfd89e7566982afba3b2bef68be3d3c057c3ae94dedc01e985,9,10,10,10,10
7876ab425da29d2f1a725863e4118af94ca1d54a990f7ef76e7170d15f29524b,10,10,10,10,10
79b810bd964c6883f93f7e01c004dd646113c80820d36fa3b5fe988e8aedb427,10,10,10,10,10
7bab8c3affeda53b3a75d8e80ab7ceb5a4264ba0737fc1eb39615837a1a0335c,10,10,10,10,10
7c9aa6b942b693d7c832883f2a69786e52d341f5a8ad05c5bce1d986735d65d9,10,10,10,10,10
7f07fef8947f6e441f1ab8002cc8c828d60c9d42ddf36c2aab9af81ddb25199b,10,10,10,10,10
7f4baf0213281628fa530235679740bcb5a5b3193f6a020b7e99a0a0f6df71d5,10,10,10,10,10
8067e2c6f67d4ffbc454a7314bdb3020e1f7e77d4d5131c298634182b85b1caf,10,9,8,8,10
82619f428f697d9f30487a870a94e05f555b1f5bf380e2ead3c8b304fe5a289a,10,10,10,10,10
832af8f5e1703e2d8fb4b29ba2094f1bae42c27d1d0d99de9b0fc2aae786afba,9,10,10,10,10
83e0b15d4f19da95794c7b3dcb77d40e3b809388b97038ff3cd44287d28673d4,10,9,10,10,9
84436e6d11bc93e98d51f0c179b9ceffe15bc71347bd983771d6c112ec3aee85,10,10,10,10,10
8a5ed6907516a9d295fabc0523dc27325ad0170dd3fa2cc3ca69f75c560a7c9b,10,10,10,9,10
8ba960ffb6cbf760f2295da7bf938fd293ba5cc8631ff73c3ea8fe65e891dd4a,10,8,10,8,1
8bfdccd3618d2664320ac79f74d744028174c776c72355d638e5e416149de2ea,10,9,10,10,10
8d87382b2bad0a55bb6c1562f4f039487ecee33a6f53a0256fdfe0980f01e5de,10,10,10,10,10
8f6c70520a5430d75b9a0a78830e4d962723d4f3c0a41885f93d1bef70ba5026,10,10,10,10,10
903669db8edac4d139b1507cdc9305508b3d402de17b6d4c61ae31bf1ae43bd1,10,9,10,9,9
903effaeb41e57a95ee48bba147f22ad928566f2f0fea16425646b43f559c2e9,10,10,10,10,10
918551c741accbf52e2797af5882a7d5bfa5b0b07e8d3ca0500b4b51b22b4dbc,10,10,10,10,10
93aeb890247af7bd550c8f7e2e64c59ee23afd5127a85eeb426b030e67000144,10,10,10,10,10
94a3887401c4ab9748c8c277f2d0b398abc0a2c9192fb46e80c21e4311638a48,10,9,10,10,10
978ce3c14b3f85691228a953ad0047a776549859eab711be8c4fbe7e6fc4e1e3,10,10,10,10,10
97c0579ce8bb30c05f985f4d3c6e18cadcb71b7905e2c91d1527b5dc0299db61,10,10,10,10,10
99e1b757b4da01944cc77cb134a2df1a53dbab8dcddf239464f522aa59f31d8c,10,10,10,10,9
9a42be1e24777f1fd3426fb3129ebf328b65878c47cc81c3fe01767d27e0ff61,10,10,10,10,10
9bfffa7f856133020cde5cf7bef59871894916d62881d4b6ad513d89d6fcd196,10,10,10,10,10
9db89903650b66c9fe226ec9481dd0817b7437d8bdff4168cbb6b539ea1056fc,10,10,10,10,10
9dc71a4a40acb3591ed3fe54f45845723a14aa4328554ee4cdac2e88ff3d0854,10,10,10,10,10
9e094153824e1130b8c2786965544582a7d50c36f22016abcfbc4d9058c3ae78,10,10,10,10,10
9e68dd047ec23e9f3eaf35f39e5ff83b19d73da864a6d4b4d5a06b343d52e1d0,10,10,10,10,10
a02dc0af38847928afadf27a379230318da0a4b88cb352df9190ee41eb1bc203,10,10,10,10,10
a2a36b5d6cc6c8677d65034b7c433bc112b0eab9fe9880af94109b10605e4325,10,10,10,10,10
a34a24b8aa12b1b7076f12860960e1a1ba73e1e677d5f3a68662295b3cee3bb8,10,10,10,10,10
a5da49ea73d69e1f389f7833195159b2f69d875eda256bd49fdd534912368e92,10,9,9,9,10
a63ba42f53efb893e50406b84d409ccf3d0cc06cee527d85156e6c6bd96413ae,10,10,10,10,10
a6881cfe389731e2bfb8e53a4f78a3816bdb9ddc913bbb53421ac92ac3fb8e58,10,10,10,10,10
a8602bac480696d35263e7641b8d0fa73cb51445f8b361e7f60ce0fca8cd7236,10,10,10,10,10
a88ef33c7d31b7d7bfbf96054de974a731218066f47e235d5fc7b31657030ed9,10,10,10,10,10
aa4460cef7b8043b28cf85024a2c99f4d7ed36f7bb247613a48568064fe1f167,10,10,10,10,10
ac70dd928456abcf4b7db3caa3417b04086bffabf647a9a6b99f649aa83051b6,10,10,10,10,10
adfadb34593e24c9e4580c2c2e9da2fc17eec3afdd4a994d9d2873695e05da46,10,10,10,10,10
afa6396102c8a1937fa688111f871ead71e8915bad373ec16be65f109276a946,3,10,10,10,10
b12ed0f0161d38e5e0629e2a12c3743561d8de3476757db967447e73b7415155,10,0,10,10,10
b215a3e0f2d1aeffb0c0e268f3bf05a3f2e6af06259bc15e864fe528b2c3f02e,9,3,9,8,10
b21a43d5e3a834ae6ddbeca4874b862c1e2d59895d6e14db845d8da89877fb00,10,10,10,10,9
b6454a9c4ddfd2466f15d8c1449a724c003d1df93af28a3808edd241191e8b94,10,10,10,10,10
b71dbf901ef4b448468577155bce678d1d713a7d3b329e9b61a7334cdfb42f85,10,10,10,10,10
b80539b1e193a9beda43457c2dab8eccb5cd21c8540032f0769e24f7f550a48c,10,10,9,10,10
b87a2ecc217a552e231f6382ccc473b876ae6795d9ef4c7eaad6a8685f689ddd,5,10,10,10,9
babd2b9209530cad5e8c5de713fa65a2a19e2a5e1d883d4b519b5da9281846b7,10,10,10,10,10
bc8a26affb1827d7f9c75025c4e5d118b8136a67f951f6e0642ecfb243aa51c9,10,10,10,10,10
bfba140590b657cac2513a65c290e9dca44fae3d88ff6ff3a97b10b22fde33da,10,10,10,10,10
c00533be8add6e39e59c384548174127294f9527e9080baaedde728744cd0133,10,10,10,10,10
c24cddc11f00ad5556d3037699a836c3ecd3e28befc586b82bebdb40a39cf110,10,10,10,10,10
c273425e89bbb562c40365a864f69d802d284c32d0edc94aae44fa6888f6297d,10,10,10,10,10
c28bafb0f634816241e9e9cd1b53079851b5fd463e864e8cd9cc59f6de93ad27,10,10,10,10,10
c4577765cc7da1093ba6c29a137e3f4cbb87d4a7e7af667c30ff26b64b5f8489,10,10,10,10,10
c542465bd77eb2397a4e46cb8eabb98b731f78187367e8c54dbd70213a1b8c71,10,10,10,10,10
c5c94913c608ff68a435d9cd34b6d547d86419925a7b8122886fb24cbb56f75f,10,10,10,10,10
c65be7c373f1993fc4b656592704baf1a11a5672955ea18a352c1b5377cb7691,10,10,10,10,10
cb32be06878e24e4093847091225cec8983e3ef4d38f47c433efb3bf507cd973,10,10,10,10,10
cb87f677ab95dad8f4ea974e637e593a0ec77cfb5d244e0d8b70ee42a75fd27b,10,10,10,10,9
cbc9031f00874547f0d2c14012a9bf98f2898fc237db05e462ee572d938b11c8,10,10,10,10,10
ccd2c8f548010068f712514bac23a84cbd083579c1562cbf8bff3448fa96049e,10,10,10,10,10
cce0b2e8a9fb234cb0d6af2226a37ee12e6521bfca7d03112adfe98a0ea08f4c,10,10,10,10,10
ccf2b8baf32221f18cd7defa5640f3588f75155c9794575f0e0f37b85ad39315,10,10,10,10,10
cf83001c0cc4a54f7955c621579d6cde6ac0beeb7259200655117b029a6282ea,10,10,10,10,10
d4c6e0c45b884139ae416b83856196b200647cf8973a2b4ebbf8cbf5e14eccb3,10,10,10,10,10
d560798c552d7e37416322549b0dafc13bea180930fe03006d9b0360dd8644fa,10,9,10,10,10
d8081579ac86a6c2c03a9e53404d53abaae8ce374445867552fe2dd95e1841ec,10,10,10,10,10
d8c7a3b6d9d1a21d3b597412d6b0cc10f0ac67e24ec43d8af16bd89ea9618ccf,10,10,10,10,10
d8d8143b9a43f99693c63f0fa7687f3aafd2ef752d848f2fd77208de60efe07e,10,10,10,10,10
db8a1c04a9620bfe8b347de4d466c55015a1b017ce7e0ace597ad8f9eeb3e679,10,10,10,10,10
e0f6fbf8f8afc27b7089f00bb77457390a45c5f149a343c94fac501b91e37de3,10,10,10,10,10
e1000cd8cd971d48db2cc2edbc7ba87e2517eb0409b9dadb5040d5fe0b38c985,0,5,0,0,2
e17bfa49affc406467b1869ce16a70b079d9a3fda92d21d6880e31e12eb5dd2e,10,10,10,10,10
e1be533d475c0f2e7499240dcdc47f0620a35b3091cd145d62fcbbf106005752,0,0,10,0,0
e3de3869be2af2ce60ef6ddaf76bcf998195f464a230886aef6789c627b9a845,10,10,10,10,9
e57f600f32d42a149006e72fa124b9992ef6882bed5d93d5928ef16beab472d5,10,10,10,10,10
ea9d06b964ae4072a4710ce261e8796219ef4aa7e08eb236667896684be007de,10,10,10,10,10
eb7302e62b284ff2492d24d38fee878b889cecf01dafa530b4b50f9f6ed7fb69,10,10,10,10,10
ed9c89764bcc269500dc144d0f9a6d5c5b90bed4376dac54089ed9b15d242ee0,10,9,10,10,10
edb163a0cfbd56c2dbbb273254622483fd636eecb6ed9ba28d5481bc5b648dad,10,10,10,10,10
ef87240723b8e81da41f2bc2cc00ac4f008f443c28ca1135caf86e9f610942cc,10,10,10,10,10
f090e1cefb517794c345bb83c86519614fc1e0b54640458c05b5ec2ce7b78121,10,10,10,10,10
f3f36a2a68f3244460e9a52201d655eed78e3352e4c94119e87651d6ae59aff4,10,10,10,10,10
f4067baf1f42b920856307380babe16057b806e0ed50f5eb5447b5911dd0b148,10,10,10,10,10
f47a52ec1a94257180b845f7c17ec081ea11898b89b625bc47dac25cf2a082d8,10,10,10,10,10
f61b74e82799a6c85e014a029398d70c8448f86ca9469d21afb1bf23a2409140,10,10,10,10,10
f6eddcd82bd6f6cf49dac4508abddc8035d867ce3d05d64dffaa546e0c18bc54,10,10,10,10,8
f85808f16776021865fe5697c702a6860fffb30c8c3fd509c406895c485c06e4,10,10,10,10,10
fc656336685b4232ee4ba25114a6f9be147c3d16a5051cd1151fbc454653ddcb,10,10,10,10,10
